INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='MS Reference Sans Serif Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Reference Sans Serif Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='MS Reference Sans Serif', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Palatino Linotype Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Palatino Linotype Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Palatino Linotype Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Palatino Linotype', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Segoe UI Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Segoe UI Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Segoe UI Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Segoe UI', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='SimSun Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='SimSun Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='SimSun Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='SimSun', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Sylfaen Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Sylfaen Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Sylfaen Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Sylfaen', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Tahoma Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Tahoma Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Tahoma Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Tahoma', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Times New Roman Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Times New Roman Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Times New Roman Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Times New Roman', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Trebuchet MS Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Trebuchet MS Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Trebuchet MS Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Trebuchet MS', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Verdana Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Verdana Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Verdana Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Verdana', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Licenses', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00')
INFO:root:FileData(name='FineReader10Trial-1.ABBYY', extension='.License', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\Licenses')
INFO:root:FileData(name='Licensing', extension='.bin', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\Licenses')
INFO:root:FileData(name='Licensing', extension='.cnt', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\Licenses')
INFO:root:FileData(name='ProductLicensing', extension='.log', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\Licenses')
INFO:root:FileData(name='ACD Systems', extension='', is_directory=True, parent_directory='C:/Users/All Users')
INFO:root:FileData(name='ACDSee Pro', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems')
INFO:root:FileData(name='5.0', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro')
INFO:root:FileData(name='ACDInTouch', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0')
INFO:root:FileData(name='RU', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch')
INFO:root:FileData(name='StaticPages', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU')
INFO:root:FileData(name='Cannot_Connect', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
